"","Reference","family","EnglishName","Species","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.ground","mass","Average.mass..kg.","Location","sample.size","estimated.dead","estimated.survived","survival.est","SE","X95..CI..lower.","X95..CI..upper.","sex","age","Group","Method","survival.estimate.type","death.type","notes","forage","diet","est.type","spcode","stcode","famcode"
"70","Picozzi (1984)","accipitridae","Northern Harrier ","Circus cyaneus",10,70,10,0,0,10,0,0,0,0,100,0.948476739325624,4.4,"Scotland",68,7,61,0.9,0.03,NA,NA,"female","second to sixth year","",3,"apparent","indirect","Ibis in library",0.71899252035824,-0.109595276634426,1,25,46,1
"71","Etheridge et al. (1997)","accipitridae","Northern Harrier ","Circus cyaneus",10,70,10,0,0,10,0,0,0,0,100,0.948476739325624,4.4,"Scotland",39,24,15,0.397,NA,0.244,0.6,"","adult","Grouse moorland",3,"apparent","indirect","first to sixth year considered adult",0.71899252035824,-0.109595276634426,1,25,12,1
"72","Etheridge et al. (1997)","accipitridae","Northern Harrier ","Circus cyaneus",10,70,10,0,0,10,0,0,0,0,100,0.948476739325624,4.4,"Scotland",27,9,18,0.778,NA,0.57,0.903,"","adult","Other moorland",3,"apparent","indirect","",0.71899252035824,-0.109595276634426,1,25,12,1
"73","Hiraldo et al. (1996)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"S. Spain",263,85,178,0.687,NA,NA,NA,"","adult","1988-1993",3,"apparent","indirect","table 5; yearling to adult",-0.236673044922915,1.59848720554602,1,18,26,3
"74","Prugnolle et al. (2003)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"S. France",104,34,70,0.67,0.06,NA,NA,"","adult","",3,"apparent","indirect","",-0.236673044922915,1.59848720554602,1,18,47,3
"75","Prugnolle et al. (2003)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"S. Spain",582,192,390,0.67,0.06,NA,NA,"","adult","",3,"apparent","indirect","",-0.236673044922915,1.59848720554602,1,18,47,3
"76","Serrano et al. (2005)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"N. Spain",1915,536,1379,0.72,0.015,NA,NA,"","adult","large colony",3,"apparent","indirect","",-0.236673044922915,1.59848720554602,1,18,54,3
"77","Serrano et al. (2005)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"N. Spain",832,294,538,0.647,0.019,NA,NA,"","adult","small colony",3,"apparent","indirect","",-0.236673044922915,1.59848720554602,1,18,54,3
"78","Serrano et al. (2005)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"N. Spain",871,300,571,0.6553,0.018,NA,NA,"","adult","medium colony",3,"apparent","indirect","",-0.236673044922915,1.59848720554602,1,18,54,3
"79","Mihoub et al. (2010)","falconidae","Lesser Kestrel ","Falco naumanni",100,0,0,0,0,0,0,0,0,0,40,-0.437886326434169,0.17,"S. France",1421,401,1020,0.718,0.013,NA,NA,"","adult","",3,"apparent","indirect","",-0.236673044922915,1.59848720554602,1,18,37,3
"80","Schaub et al. (2006)","strigidae","Little Owl ","Athene noctua",70,20,10,0,0,0,0,0,0,0,80,-0.408389239928641,0.26,"Basel, Switzerland",92,36,56,0.61,0.042,NA,NA,"","adult","",3,"apparent","indirect","most were females",0.400437331931188,1.02912637815254,1,19,52,5
"81","Schaub et al. (2006)","strigidae","Little Owl ","Athene noctua",70,20,10,0,0,0,0,0,0,0,80,-0.408389239928641,0.26,"Goppingen, Switzerland",73,25,48,0.659,0.051,NA,NA,"","adult","",3,"apparent","indirect","most were females",0.400437331931188,1.02912637815254,1,19,52,5
"82","Schaub et al. (2006)","strigidae","Little Owl ","Athene noctua",70,20,10,0,0,0,0,0,0,0,80,-0.408389239928641,0.26,"Geneve, Switzerland",52,16,36,0.687,0.068,NA,NA,"","adult","",3,"apparent","indirect","before 1 year sexual maturity",0.400437331931188,1.02912637815254,1,19,52,5
"83","Schaub et al. (2006)","strigidae","Little Owl ","Athene noctua",70,20,10,0,0,0,0,0,0,0,80,-0.408389239928641,0.26,"Frederichschafen, Switzerland",26,9,17,0.674,0.026,NA,NA,"","adult","",3,"apparent","indirect","",0.400437331931188,1.02912637815254,1,19,52,5
"84","Le Gouar et al. (2011)","strigidae","Little Owl ","Athene noctua",70,20,10,0,0,0,0,0,0,0,80,-0.408389239928641,0.26,"Netherlands",4207,1039,3168,0.753,0.019,NA,NA,"","adult","",3,"apparent","indirect","",0.400437331931188,1.02912637815254,1,19,34,5
"85","Thorup et al. (2013)","strigidae","Little Owl ","Athene noctua",70,20,10,0,0,0,0,0,0,0,80,-0.408389239928641,0.26,"Denmark",29,1,28,0.98,NA,0.96,0.99,"","adult","",5,"unknown true","indirect","",0.400437331931188,1.02912637815254,1,19,63,5
"86","Nicoll et al. (2004)","falconidae","Mauritius Kestrel ","Falco punctatus",10,20,70,0,0,0,0,0,0,0,20,-0.411666693984811,0.25,"Mauritius",42,8,34,0.8,0.4,NA,NA,"","adult","fostered",3,"apparent","indirect","",-0.555228233349967,-0.109595276634426,1,20,44,3
"87","Nicoll et al. (2004)","falconidae","Mauritius Kestrel ","Falco punctatus",10,20,70,0,0,0,0,0,0,0,20,-0.411666693984811,0.25,"Mauritius",81,16,65,0.8,0.4,NA,NA,"","adult","hacked",3,"apparent","indirect","",-0.555228233349967,-0.109595276634426,1,20,44,3
"88","Lieske et al. (2000)","falconidae","Merlin","Falco columbarius",20,80,0,0,0,0,0,0,0,0,0,-0.42805396426566,0.2,"Alberta, Canada",85,32,53,0.62,0.11,NA,NA,"","second year and older","",3,"apparent","indirect","",-0.873783421777019,0.0801916658300681,1,21,35,3
"89","Millon & Bretagnolle (2008)","accipitridae","Montagu's Harrier ","Circus pygargus",10,80,10,0,0,0,0,0,0,0,100,0.52240771202356,3.1,"France",174,61,113,0.65,0.04,NA,NA,"","adult","",3,"apparent","indirect","potentially >4 years old",0.71899252035824,-0.109595276634426,1,22,38,1
"90","Klaassen et al (2014)","accipitridae","Montagu's Harrier ","Circus pygargus",10,80,10,0,0,0,0,0,0,0,100,0.52240771202356,3.1,"Europe",34,25,9,0.59,NA,NA,NA,"","adult","",5,"unknown true","indirect","",0.71899252035824,-0.109595276634426,1,22,32,1
"91","Morrison (2003)","falconidae","Northern Crested Caracara ","Caracara cheriway",20,0,20,0,0,60,0,0,0,0,100,-0.133083099210385,1.1,"Florida, USA",35,4,31,0.876,0.003,NA,NA,"male","adult","",5,"unknown true","indirect","",0.71899252035824,0.0801916658300681,1,23,41,3
"92","Morrison (2003)","falconidae","Northern Crested Caracara ","Caracara cheriway",20,0,20,0,0,60,0,0,0,0,100,-0.133083099210385,1.1,"Florida, USA",26,2,24,0.906,0.002,NA,NA,"female","adult","",5,"unknown true","indirect","",0.71899252035824,0.0801916658300681,1,23,41,3
"93","Kenward (1999)","accipitridae","Northern Goshawk ","Accipiter gentilis",0,90,10,0,0,0,0,0,0,0,100,1.99726203729994,7.6,"Gotland, Sweden",133,19,114,0.83,0.09,NA,NA,"both","third year and over","",5,"unknown true","indirect","",0.71899252035824,-0.299382219098921,1,24,30,1
"94","Gould & Fuller (1995)","falconidae","Peregrine Falcon ","Falco peregrinus",10,80,10,0,0,0,0,0,0,0,20,-0.133083099210385,1.1,"W. Greenland",154,24,130,0.788,0.0308,NA,NA,"","adult","",4,"TRUE","direct","",-0.555228233349967,-0.109595276634426,0,26,21,3
"95","Johnstone (1998)","falconidae","Peregrine Falcon ","Falco peregrinus",10,80,10,0,0,0,0,0,0,0,20,-0.133083099210385,1.1,"Rankin Inlet, NWT, Canada",55,13,42,0.765,0.038,NA,NA,"male","adult","",3,"apparent","indirect","",-0.555228233349967,-0.109595276634426,1,26,28,3
"96","Johnstone (1998)","falconidae","Peregrine Falcon ","Falco peregrinus",10,80,10,0,0,0,0,0,0,0,20,-0.133083099210385,1.1,"Rankin Inlet, NWT, Canada",88,26,62,0.701,0.032,NA,NA,"female","adult","",3,"apparent","indirect","",-0.555228233349967,-0.109595276634426,1,26,28,3
"97","Craig et al. (2004)","falconidae","Peregrine Falcon ","Falco peregrinus",10,80,10,0,0,0,0,0,0,0,20,-0.133083099210385,1.1,"Colorado, USA",147,65,82,0.8,0.054,NA,NA,"","second year and over","",4,"TRUE","direct","",-0.555228233349967,-0.109595276634426,0,26,11,3
"98","Franke et al. (2011)","falconidae","Peregrine Falcon ","Falco peregrinus",10,80,10,0,0,0,0,0,0,0,20,-0.133083099210385,1.1,"Nunavut, Canada",264,71,193,0.73,0.02,NA,NA,"","adult","",3,"apparent","indirect","",-0.555228233349967,-0.109595276634426,1,26,17,3
"99","Faccio et al. (2013)","falconidae","Peregrine Falcon ","Falco peregrinus",10,80,10,0,0,0,0,0,0,0,20,-0.133083099210385,1.1,"New England, USA",39,7,32,0.81,NA,NA,NA,"","adult","",3,"apparent","indirect","potentially >2 years old; CI: 0.74-0.87",-0.555228233349967,-0.109595276634426,1,26,14,3
"100","Altwegg et al. (2014)","falconidae","Peregrine Falcon ","Falco peregrinus",10,80,10,0,0,0,0,0,0,0,20,-0.133083099210385,1.1,"Cape Town, South Africa",149,22,127,0.852,NA,NA,NA,"","adult","",6,"TRUE","direct","",-0.555228233349967,-0.109595276634426,0,26,3,3
"101","Smith et al. (2015)","falconidae","Peregrine Falcon ","Falco peregrinus",10,80,10,0,0,0,0,0,0,0,20,-0.133083099210385,1.1,"S.Scotland â€“ N. England",153,29,124,0.81,0.034,NA,NA,"","adult","",4,"TRUE","direct","",-0.555228233349967,-0.109595276634426,0,26,56,3
"102","Varland et al. (2008)","falconidae","Peregrine Falcon ","Falco peregrinus",10,80,10,0,0,0,0,0,0,0,20,-0.133083099210385,1.1,"Washington Coast",80,32,48,0.597,0.054,NA,NA,"","adult","",3,"apparent","indirect","extrapolated from 3-month apparent survival",-0.555228233349967,-0.109595276634426,1,26,64,3
"103","Steenhof et al. (2006)","falconidae","Prairie Falcon ","Falco mexicanus",0,100,0,0,0,0,0,0,0,0,70,-0.00198493696359577,1.5,"Idaho, USA",40,13,27,0.49,NA,0.4,0.61,"female","first year","",3,"apparent","indirect","11-13 mos.old",0.241159737717662,-0.299382219098921,1,27,57,3
"104","Smart et al. (2010)","accipitridae","Red Kite ","Milvus milvus",0,30,0,0,0,70,0,0,0,0,100,-0.149470369491233,1.05,"Scotland",609,79,530,0.87,0.12,NA,NA,"","adult","wild",3,"apparent","indirect","",0.71899252035824,-0.299382219098921,1,28,55,1
"105","Smart et al. (2010)","accipitridae","Red Kite ","Milvus milvus",0,30,0,0,0,70,0,0,0,0,100,-0.149470369491233,1.05,"Scotland",93,14,79,0.85,0.2,NA,NA,"","adult","released",3,"apparent","indirect","",0.71899252035824,-0.299382219098921,1,28,55,1
"106","Tavecchia et al. (2012)","accipitridae","Red Kite ","Milvus milvus",0,30,0,0,0,70,0,0,0,0,100,-0.149470369491233,1.05,"Mallorca",142,51,91,0.77,0.03,NA,NA,"","second year and over","",3,"apparent","indirect","",0.71899252035824,-0.299382219098921,1,28,58,1
"107","Tenan et al. (2012)","accipitridae","Red Kite ","Milvus milvus",0,30,0,0,0,70,0,0,0,0,100,-0.149470369491233,1.05,"Spain",142,15,127,0.955,NA,0.904,0.989,"","second year and over","",6,"TRUE","direct","",0.71899252035824,-0.299382219098921,0,28,61,1
"108","Bennetts et al. (1999)","accipitridae","Snail Kite ","Rostrhamus sociabilis",100,0,0,0,0,0,0,0,0,0,100,0.391309549776771,2.7,"Florida, USA",282,39,243,0.861,0.034,NA,NA,"","adult","1992-96",3,"apparent","indirect","based on CJS model",0.71899252035824,1.59848720554602,1,29,5,1
"109","Therrien et al. (2012)","strigidae","Snowy Owl ","Nyctea scandiaca",10,90,0,0,0,0,0,0,0,0,90,0.16188776584489,2,"Nunavut, Canada",12,2,10,0.923,0.057,NA,NA,"","adult","",5,"unknown true","indirect","based on 2 confirmed mortalities",0.559714926144714,-0.109595276634426,1,30,62,5
"110","McGrady et al. (2015)","falconidae","Sooty Falcon ","Falco concolor",30,60,0,0,10,0,0,0,0,0,10,-0.408389239928641,0.26,"Oman",36,12,24,0.656,0.069,NA,NA,"","adult","",3,"apparent","indirect","",-0.714505827563493,0.269978608294562,1,31,36,3
"111","Bond et al. (2002)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"Western USA",21,3,18,0.86,NA,0.71,1,"","adult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,6,5
"112","Forsman et al. (2011)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"Cle Elum, Washington, USA",211,38,173,0.82,NA,NA,NA,"both","adult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,15,5
"113","Forsman et al. (2011)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"Rainier, Washington, USA",153,37,116,0.76,NA,NA,NA,"both","adult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,15,5
"114","Forsman et al. (2011)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"Olympic, Washington, USA",388,70,318,0.82,NA,NA,NA,"both","adult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,15,5
"115","Forsman et al. (2011)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"Coast Ranges, Oregon, USA",649,86,563,0.86,NA,NA,NA,"both","adult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,15,5
"116","Forsman et al. (2011)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"H. J. Andrews, Oregon, USA",576,88,488,0.85,NA,NA,NA,"both","adult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,15,5
"117","Forsman et al. (2011)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"Tyee, Oregon, USA",490,68,422,0.86,NA,NA,NA,"both","adult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,15,5
"118","Forsman et al. (2011)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"Klamath, Oregon, USA",650,96,554,0.85,NA,NA,NA,"both","adult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,15,5
"119","Forsman et al. (2011)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"South Cascade, Oregon, USA",602,124,478,0.79,NA,NA,NA,"both","adult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,15,5
"120","Forsman et al. (2011)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"Northwest California, USA",474,85,389,0.82,NA,NA,NA,"both","adult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,15,5
"121","Glenn et al. (2011)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"Tyee, Oregon, USA",20,3,17,0.87,0.01,NA,NA,"","adult and subadult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,20,5
"122","Glenn et al. (2011)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"H. J. Andrews, Oregon, USA",15,2,13,0.87,0.02,NA,NA,"","adult and subadult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,20,5
"123","Glenn et al. (2011)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"Cle Elum, Washington, USA",16,2,14,0.81,0.03,NA,NA,"","adult and subadult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,20,5
"124","Ganey et al. (2014)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"New Mexico, USA",105,14,91,0.87,NA,NA,NA,"male","second year and older","2004-2009",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,18,5
"125","Ganey et al. (2014)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"New Mexico, USA",99,11,88,0.89,NA,NA,NA,"female","second year and older","2004-2009",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,32,18,5
"126","Tempel et al. (2014)","strigidae","Spotted Owl ","Strix occidentalis",10,80,10,0,0,0,0,0,0,0,70,-0.329730342580568,0.5,"California, USA",229,39,190,0.828,NA,0.801,0.854,"","second year and over","",6,"TRUE","direct","",0.241159737717662,-0.109595276634426,0,32,59,5
"127","Francis & Saurola (2002)","strigidae","Tawny Owl ","Strix aluco",10,80,10,0,0,0,0,0,0,0,70,-0.133083099210385,1.1,"Finland",1751,199,1552,0.711,0.024,NA,NA,"","adult","",4,"TRUE","direct","",0.241159737717662,-0.109595276634426,0,33,16,5
"128","Karell et al. (2009)","strigidae","Tawny Owl ","Strix aluco",10,80,10,0,0,0,0,0,0,0,70,-0.133083099210385,1.1,"Finland",41,11,30,0.73,0.05,NA,NA,"","adult","Experienced breeders, low prey",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,33,29,5
"129","Karell et al. (2009)","strigidae","Tawny Owl ","Strix aluco",10,80,10,0,0,0,0,0,0,0,70,-0.133083099210385,1.1,"Finland",57,13,44,0.78,0.07,NA,NA,"","adult","Experienced breeders, increasing prey",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,33,29,5
"130","Karell et al. (2009)","strigidae","Tawny Owl ","Strix aluco",10,80,10,0,0,0,0,0,0,0,70,-0.133083099210385,1.1,"Finland",77,22,55,0.71,0.06,NA,NA,"","adult","Experienced breeders, decreasing prey",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,33,29,5
"131","Karell et al. (2009)","strigidae","Tawny Owl ","Strix aluco",10,80,10,0,0,0,0,0,0,0,70,-0.133083099210385,1.1,"Finland",26,11,15,0.56,0.07,NA,NA,"","adult","First-time breeders, low prey",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,33,29,5
"132","Karell et al. (2009)","strigidae","Tawny Owl ","Strix aluco",10,80,10,0,0,0,0,0,0,0,70,-0.133083099210385,1.1,"Finland",70,32,38,0.55,0.06,NA,NA,"","adult","First-time breeders, increasing prey",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,33,29,5
"133","Karell et al. (2009)","strigidae","Tawny Owl ","Strix aluco",10,80,10,0,0,0,0,0,0,0,70,-0.133083099210385,1.1,"Finland",77,31,46,0.6,0.08,NA,NA,"","adult","First-time breeders, decreasing prey",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,33,29,5
"134","Millon et al. (2010)","strigidae","Tawny Owl ","Strix aluco",10,80,10,0,0,0,0,0,0,0,70,-0.133083099210385,1.1,"N. England",156,33,123,0.79,0.03,NA,NA,"male","fourth year","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,33,39,5
"135","Millon et al. (2010)","strigidae","Tawny Owl ","Strix aluco",10,80,10,0,0,0,0,0,0,0,70,-0.133083099210385,1.1,"N. England",156,23,133,0.85,0.03,NA,NA,"female","third year","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,33,39,5
"136","Pavon-Jordan et al. (2013)","strigidae","Tawny Owl ","Strix aluco",10,80,10,0,0,0,0,0,0,0,70,-0.133083099210385,1.1,"Finland",256,74,182,0.71,0.029,NA,NA,"female","adult","",3,"apparent","indirect","",0.241159737717662,-0.109595276634426,1,33,45,5
"137","Pavon-Jordan et al. (2013)","strigidae","Ural Owl ","Strix uralensis",10,90,0,0,0,0,0,0,0,0,80,-0.411666693984811,0.25,"southern Finland",398,80,318,0.8,0.016,NA,NA,"female","adult","",3,"apparent","indirect","before 1 year sexual maturity",0.400437331931188,-0.109595276634426,1,34,45,5
"138","Klaassen et al. (2014)","accipitridae","Western Marsh Harrier ","Circus aeruginosus",10,60,20,10,0,0,0,0,0,0,100,0.817378577078835,4,"W. Europe",17,15,2,0.56,NA,NA,NA,"","adult","",5,"unknown true","indirect","",0.71899252035824,-0.109595276634426,1,35,33,1
"139","Klaassen et al. (2014)","pandionidae","Western Osprey ","Pandion haliaetus",0,0,0,100,0,0,0,0,0,0,0,1.66951663168296,6.6,"W. Europe",18,11,7,0.64,NA,NA,NA,"","adult","",5,"unknown true","indirect","",-0.873783421777019,-0.299382219098921,1,36,33,4
"140","Saurola et al. (2003)","accipitridae","White-tailed Eagle ","Haliaeetus albicilla",0,30,0,40,0,30,0,0,0,0,20,0.899314928483078,4.25,"Finland",2500,335,2165,0.715,0.046,NA,NA,"","sixth year and older","",3,"apparent","indirect","in lib",-0.555228233349967,-0.299382219098921,1,37,51,1
"141","Evans et al. (2009)","accipitridae","White-tailed Eagle ","Haliaeetus albicilla",0,30,0,40,0,30,0,0,0,0,20,0.899314928483078,4.25,"Scotland",28,2,26,0.942,0.022,NA,NA,"","adult","released",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,37,13,1
"142","Evans et al. (2009)","accipitridae","White-tailed Eagle ","Haliaeetus albicilla",0,30,0,40,0,30,0,0,0,0,20,0.899314928483078,4.25,"Scotland",48,2,46,0.966,0.014,NA,NA,"","adult","wild",3,"apparent","indirect","",-0.555228233349967,-0.299382219098921,1,37,13,1
